Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
384,20479,"Bennett IV, Stetson",LA,QB,282.84,347,358,,3,,
385,21413,"Rattler, Spencer",NO,QB,282.84,310,353,,4,,
386,21168,"McCaffrey, Luke",WAS,WR,282.87,316,344,,4,,
387,17034,"Singletary, Devin",NYG,RB,282.92,162,351,,29,,
388,15357,"Dobbs, Joshua",DET,QB,282.94,350,360,,3,,
389,22094,"Etienne, Trevor",CAR,RB,282.97,248,359,,5,,
390,13738,"Waller, Darren",CAR,TE,282.99,160,350,,31,,
391,20334,"Johnson, Roschon",CHI,RB,283.09,228,357,,15,,
392,2010,"Commanders, Washington",WAS,TDSP,283.09,244,337,,27,,
393,21143,"Sanders, Ja'Tavion",CAR,TE,283.12,329,356,,4,,
394,19429,"Burks, Treylon",WAS,WR,283.20,261,351,,7,,
395,11816,"Ertz, Zach",WAS,TE,283.28,342,350,,4,,
396,21389,"Whittington, Jordan",LA,WR,283.34,251,359,,6,,
397,22096,"Giddens, DJ",IND,RB,283.36,200,355,,30,,
398,17022,"Stidham, Jarrett",DEN,QB,283.38,345,355,,4,,
399,17983,"Aiyuk, Brandon",SF,WR,283.41,222,357,,19,,
400,20294,"Richardson Sr., Anthony",IND,QB,283.59,272,354,,6,,
401,12688,"Beckham Jr., Odell",NYG,WR,283.70,236,359,,12,,
402,1947,"Jets, New York (NYJ)",NYJ,TDSP,283.84,231,352,,29,,
403,1912,"Dolphins, Miami",MIA,TDSP,284.00,249,352,,25,,
404,15281,"Hunt, Kareem",KC,RB,284.00,138,350,,19,,
405,23080,"Young, Colbie",CIN,WR,284.04,229,360,,11,,
406,15542,"Mullens, Nick",JAX,QB,284.10,345,357,,5,,
407,20814,"Bagent, Tyson",CHI,QB,284.19,322,358,,6,,
408,16562,"Allen, Kyle",BUF,QB,284.27,313,349,,7,,
409,21408,"Milton III, Joe",DAL,QB,284.29,310,356,,7,,
410,20337,"Iosivas, Andrei",CIN,WR,284.33,226,341,,32,,
411,17512,"Slayton, Darius",NYG,WR,284.36,204,356,,30,,
412,20954,"Brooks, Chris",GB,RB,284.50,217,359,,32,,
413,2976,"Giants, New York (NYG)",NYG,TK,284.60,226,352,,32,,
414,22061,"Bond, Isaiah",CLE,WR,284.63,326,359,,7,,
415,13530,"Mariota, Marcus",WAS,QB,284.65,336,360,,6,,
416,18922,"Mills, Davis",HOU,QB,284.70,297,360,,7,,
417,22954,"Brazzell II, Chris",CAR,WR,284.72,348,356,,6,,
418,15671,"Bourne, Kendrick",ARZ,WR,284.81,249,355,,12,,
419,2985,"Titans, Tennessee",TEN,TK,284.83,239,319,,30,,
420,22098,"Johnson, Kaleb",PIT,RB,284.86,222,353,,16,,
421,19482,"Kolar, Charlie",LAC,TE,284.90,199,355,,18,,
422,14572,"Raymond, Kalif",CHI,WR,285.19,239,360,,10,,
423,22121,"Arroyo, Elijah",SEA,TE,285.27,235,352,,32,,
424,22957,"Bell, Skyler",BUF,WR,285.34,214,360,,25,,
425,22117,"Smith, Brashard",KC,RB,285.35,240,351,,12,,
426,23172,"Benson, Malik",LV,WR,285.40,207,359,,12,,
427,21135,"Benson, Trey",ARZ,RB,285.41,208,360,,14,,
428,21295,"All Jr., Erick",CIN,TE,285.44,330,358,,8,,
429,22104,"Neal, Devin",NO,RB,285.68,332,359,,8,,
430,14743,"Higbee, Tyler",LA,TE,285.78,286,358,,10,,
431,22269,"Dike, Chimere",TEN,WR,285.93,181,358,,26,,
432,21161,"Davis, Isaiah",NYJ,RB,286.16,210,358,,31,,
433,20845,"DeVito, Tommy",NE,QB,286.31,340,360,,9,,
434,17170,"Zaccheaus, Olamide",ATL,WR,286.47,330,359,,10,,
435,18624,"Huntley, Tyler",BAL,QB,286.53,296,360,,11,,
436,18802,"Atwell, Tutu",LA,WR,286.61,226,360,,15,,
437,22300,"Brooks, Tahj",CIN,RB,286.80,207,353,,29,,
438,1821,"Cardinals, Arizona",ARZ,TDSP,286.85,244,351,,22,,
439,21148,"Wilson, Roman",PIT,WR,286.91,299,359,,12,,
440,18862,"Palmer, Joshua",BUF,WR,286.94,233,360,,14,,
441,18783,"Fields, Justin",KC,QB,287.09,253,359,,22,,
442,23003,"Beck, Carson",ARZ,QB,287.15,244,356,,28,,
443,20301,"Washington, Darnell",PIT,TE,287.22,258,346,,28,,
444,15319,"Smith, Jonnu",GB,TE,287.51,300,356,,13,,
445,2986,"Commanders, Washington",WAS,TK,287.54,290,336,,28,,
446,17007,"Brown, Hollywood",PHI,WR,287.57,198,348,,30,,
447,22936,"Simpson, Ty",LA,QB,287.71,312,357,,15,,
448,22942,"Stowers, Eli",PHI,TE,287.73,238,352,,24,,
449,21171,"Horton, Tory",SEA,WR,287.77,185,354,,32,,
450,2977,"Raiders, Las Vegas",LV,TK,287.84,235,358,,32,,
451,2956,"Cardinals, Arizona",ARZ,TK,287.88,284,340,,28,,
452,21181,"Johnson, Theo",NYG,TE,288.05,210,355,,26,,
453,21150,"McCarthy, J.J.",MIN,QB,288.16,272,359,,15,,
454,23050,"Raridon, Eli",NE,TE,288.38,203,354,,23,,
455,21137,"Legette, Xavier",CAR,WR,288.91,292,358,,18,,
456,20293,"Mims Jr., Marvin",DEN,WR,288.99,302,360,,17,,
457,22091,"Ayomanor, Elic",TEN,WR,289.21,237,359,,26,,
458,15355,"Hollins, Mack",NE,WR,289.26,256,360,,18,,
459,18800,"Jones, Mac",SF,QB,289.31,220,360,,26,,
460,7090,"Flacco, Joe",CIN,QB,289.36,294,358,,18,,
461,17088,"Knox, Dawson",BUF,TE,289.66,257,349,,28,,
462,2971,"Dolphins, Miami",MIA,TK,289.72,290,347,,27,,
463,22949,"Sarratt, Elijah",BAL,WR,289.91,200,360,,23,,
464,17046,"Johnson, Ty",BUF,RB,289.99,232,360,,30,,
465,2975,"Jets, New York (NYJ)",NYJ,TK,290.41,259,359,,28,,
466,19128,"Gray, Noah",KC,TE,290.46,281,360,,18,,
467,2963,"Browns, Cleveland",CLE,TK,290.60,275,359,,24,,
468,18010,"Kmet, Cole",CHI,TE,290.73,289,357,,24,,
469,13529,"Winston, Jameis",NYG,QB,290.76,303,360,,22,,
470,2960,"Panthers, Carolina",CAR,TK,290.84,293,348,,28,,
