Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
89,21126,"Daniels, Jayden",WAS,QB,93.02,46,144,,116,,
90,17976,"Herbert, Justin",LAC,QB,93.04,40,136,,116,,
91,19872,"Mason, Jordan",MIN,RB,93.28,63,119,,116,,
92,20311,"Reed, Jayden",GB,WR,93.35,47,128,,116,,
93,18779,"Lawrence, Trevor",JAX,QB,94.45,38,136,,116,,
94,14553,"Prescott, Dak",DAL,QB,94.68,29,137,,116,,
95,22095,"Fannin Jr., Harold",CLE,TE,94.78,75,127,,116,,
96,22933,"Concepcion, KC",CLE,WR,95.58,61,138,,116,,
97,20339,"LaPorta, Sam",DET,TE,97.26,68,125,,116,,
98,13671,"Diggs, Stefon",WAS,WR,97.72,58,142,,116,,
99,17963,"Dobbins, J.K.",DEN,RB,98.47,51,135,,115,,
100,22085,"Golden, Matthew",GB,WR,99.19,70,138,,116,,
101,17999,"Hurts, Jalen",PHI,QB,101.60,38,151,,116,,
102,20274,"Addison, Jordan",MIN,WR,103.14,68,157,,116,,
103,22932,"Lemon, Makai",PHI,WR,104.08,69,153,,115,,
104,15360,"Kittle, George",SF,TE,106.71,65,137,,116,,
105,22130,"Croskey-Merritt, Jacory",WAS,RB,107.87,75,163,,115,,
106,19455,"Doubs, Romeo",NE,WR,109.37,79,146,,116,,
107,18773,"Hubbard, Chuba",CAR,RB,109.49,72,148,,115,,
108,7697,"Stafford, Matthew",LA,QB,111.47,57,164,,116,,
109,20300,"Kincaid, Dalton",BUF,TE,111.61,84,151,,116,,
110,17061,"Meyers, Jakobi",JAX,WR,112.03,69,146,,116,,
111,22955,"Washington Jr., Mike",LV,RB,112.20,1,164,,114,,
112,19436,"White, Rachaad",WAS,RB,116.53,82,162,,113,,
113,14748,"Goff, Jared",DET,QB,117.35,41,162,,116,,
114,19742,"Purdy, Brock",SF,QB,117.71,58,159,,116,,
115,21128,"Worthy, Xavier",KC,WR,117.92,80,173,,115,,
116,19464,"Likely, Isaiah",NYG,TE,117.95,79,146,,116,,
117,22119,"Monangai, Kyle",CHI,RB,119.13,87,168,,114,,
118,21570,"Coker, Jalen",CAR,WR,119.85,89,163,,116,,
119,20299,"Nix, Bo",DEN,QB,123.83,57,170,,116,,
120,16151,"Goedert, Dallas",PHI,TE,124.73,76,153,,116,,
121,21144,"Lloyd, MarShawn",GB,RB,125.39,81,189,,113,,
122,11842,"Kelce, Travis",KC,TE,125.89,61,158,,116,,
123,19462,"Shakir, Khalil",BUF,WR,126.18,91,168,,116,,
124,15234,"Mahomes, Patrick",KC,QB,126.35,71,174,,116,,
125,19934,"Shaheed, Rashid",SEA,WR,127.63,98,174,,116,,
126,22087,"Dart, Jaxson",NYG,QB,127.92,66,176,,116,,
127,20308,"Rodriguez Jr., Chris",JAX,RB,128.16,95,152,,114,,
128,19441,"Allgeier, Tyler",ARZ,RB,128.75,87,167,,116,,
129,22931,"Tyson, Jordyn",NO,WR,129.91,72,202,,111,,
130,19476,"Ferguson, Jake",DAL,TE,130.10,81,173,,116,,
131,17019,"Samuel Sr., Deebo",SF,WR,130.38,85,168,,116,,
132,22109,"Marks, Woody",HOU,RB,131.87,101,159,,113,,
133,20344,"Mitchell, Keaton",LAC,RB,132.89,96,164,,112,,
134,22941,"Coleman, Jonah",DEN,RB,133.94,98,173,,112,,
135,15392,"Jones Sr., Aaron",MIN,RB,135.99,89,167,,112,,
